id,input,answer,additional_context,few_shot
97,"Claim: Evidence brown fox evidence quick brown.
Context: Evidence quick the lazy claim data fox fox the evidence quick lazy over data ai fox dog verify fox evidence dog model.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: A quick brown fox jumps over a lazy dog in the field."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox is blue according to the report. Context: The report states the fox is brown, not blue."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The data confirm the dog is lazy. Context: Multiple sources mention the dog is lazy and seldom moves."", ""label"": ""SUPPORTED""}]"
16,"Claim: Evidence data jumps ai over model over model data brown.
Context: Jumps ai data fox claim model evidence over ai model jumps dog dog fox over evidence evidence verify brown brown ai evidence verify dog.",SUPPORTED,{},"[{""input"": ""Claim: Fox jumps over dog evidence brown. Context: Evidence brown fox jumps over dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Ai model verify data fox. Context: Brown dog model data fox jumps over."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence data verify brown ai. Context: Ai brown evidence data verify over model."", ""label"": ""SUPPORTED""}]"
91,"Claim: Evidence data model claim brown data lazy model claim claim.
Context: Brown lazy over dog fox verify evidence brown claim dog over model claim model ai evidence data the data quick claim quick quick the the verify.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The quick brown fox jumps over the lazy dog in the test sentence."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox is blue and the dog is agile. Context: The text states a brown fox and a lazy dog, with no mention of blue or agility."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The evidence-based data model verifies the claim. Context: Evidence and a data model are used to verify the claim in the report."", ""label"": ""SUPPORTED""}]"
89,"Claim: The dog lazy evidence ai verify fox lazy.
Context: Verify data over fox lazy lazy lazy dog evidence dog dog lazy dog over over over data lazy brown evidence ai fox fox fox.",SUPPORTED,{},"[{""input"": ""Claim: The fox is lazy. Context: The brown fox is lazy and jumps over the dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Data verify ai proves the dog is brown. Context: The data shows the dog is lazy; no evidence about color."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence shows ai verified the dog jumped over the lazy fox. Context: Evidence states the dog jumped over the lazy fox, verified by ai."", ""label"": ""SUPPORTED""}]"
90,"Claim: Verify evidence data claim model over dog ai verify.
Context: Over data jumps fox lazy brown dog quick ai data dog jumps verify claim verify model lazy the fox fox over ai brown data lazy ai lazy brown dog the evidence fox lazy.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: quick brown fox jumps over the lazy dog in data evidence."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: AI model verifies the dog claim. Context: ai model verify claim about dog in data evidence."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox never jumps over any dog. Context: evidence shows the fox jumps over the lazy dog quick."", ""label"": ""NOT_SUPPORTED""}]"
20,"Claim: Over jumps verify ai over ai quick model verify fox brown data verify.
Context: Evidence brown verify lazy ai dog dog evidence claim jumps data quick ai lazy data over brown the verify over verify dog claim data over evidence lazy fox.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The context states a quick brown fox jumped over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model confirms there is no fox mentioned. Context: The passage describes a brown fox and a lazy dog."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence verifies that data about the brown fox is included. Context: The context lists verified data on the brown fox and mentions its jump."", ""label"": ""SUPPORTED""}]"
7,"Claim: Data fox jumps dog brown dog verify brown evidence.
Context: Jumps brown fox data quick ai verify evidence evidence fox the lazy quick dog ai model fox evidence brown the lazy evidence jumps model lazy data model fox data over dog ai data brown jumps.",SUPPORTED,{},"[{""input"": ""Claim: The quick fox jumps over the lazy dog. Context: The text states the quick fox jumps over the lazy dog near the river."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model reports two brown dogs sleeping. Context: The passage mentions one brown dog playing and a cat sleeping."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The dataset includes a brown fox. Context: The dataset description lists a brown fox and a gray wolf."", ""label"": ""SUPPORTED""}]"
4,"Claim: The verify evidence evidence fox lazy ai jumps.
Context: Model over quick over jumps brown quick jumps jumps dog dog fox brown jumps jumps model claim quick fox data jumps brown quick fox ai verify ai claim brown the model the ai ai claim fox the dog.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: In the pangram, a quick brown fox jumps over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Paris is the capital of Germany. Context: Berlin is the capital of Germany, while Paris is the capital of France."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Marie Curie won two Nobel Prizes. Context: Curie received Nobel Prizes in Physics (1903) and Chemistry (1911)."", ""label"": ""SUPPORTED""}]"
92,"Claim: Verify quick over over fox evidence brown fox jumps verify quick.
Context: Model over model verify dog dog over evidence brown jumps jumps quick claim ai brown brown brown lazy quick ai model lazy brown ai ai data dog evidence jumps evidence verify.",SUPPORTED,{},"[{""input"": ""Claim: The brown fox jumps over the lazy dog. Context: Evidence mentions a brown fox jumping over a lazy dog, verifying the claim."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The dog jumps over the fox. Context: Evidence describes a brown fox jumping over a lazy dog, not a dog over a fox."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The quick AI model verifies brown evidence. Context: The context states a quick AI model verifies brown evidence."", ""label"": ""SUPPORTED""}]"
39,"Claim: Verify brown lazy jumps the ai verify over.
Context: Data brown data quick lazy model data lazy lazy lazy fox data the model fox brown model model ai quick model model evidence lazy the over model fox brown model data dog data quick.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: Record shows the quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model identifies a red fox sleeping under a bridge. Context: Notes mention a brown fox and a lazy dog; no red fox or bridge is recorded."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: AI model verifies the fox is brown and lazy. Context: Report states the AI model verifies the fox is brown and lazy."", ""label"": ""SUPPORTED""}]"
85,"Claim: Jumps ai jumps jumps verify model jumps quick claim quick lazy verify.
Context: Quick ai verify dog fox brown ai the dog dog quick quick fox the verify lazy brown quick claim evidence claim quick fox lazy model over.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The brown fox jumps over the lazy dog. Context: A brown fox jumps over the lazy dog in the record."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The system verified the claim successfully. Context: The logs show the system crashed before any verification."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The quick model found evidence of a fox. Context: The model quickly found evidence that a fox was present."", ""label"": ""SUPPORTED""}]"
66,"Claim: Model fox fox verify over quick fox jumps brown lazy quick evidence.
Context: Data brown fox dog brown data jumps claim over the data quick ai jumps ai quick claim data model dog fox data dog jumps verify quick ai evidence model dog brown quick claim evidence over jumps the lazy.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The red fox is a mammal. Context: Biology text states the red fox is a mammal found worldwide."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The Moon has oceans of liquid water. Context: Scientific sources say the Moon is airless and has no liquid water on its surface."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Paris is the capital of France. Context: An encyclopedia entry notes Paris serves as the capital city of France."", ""label"": ""SUPPORTED""}]"
2,"Claim: Verify lazy the evidence brown quick.
Context: Ai verify ai lazy lazy over brown lazy evidence ai fox evidence jumps quick over verify over model model model quick evidence the quick.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The context states a quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model confirms the evidence is brown and quick. Context: The passage mentions models and evidence but never says the evidence is brown or quick."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The lazy dog jumps over the quick fox. Context: The text says the quick fox jumps over the lazy dog."", ""label"": ""NOT_SUPPORTED""}]"
68,"Claim: Quick the quick evidence claim dog fox model dog fox model.
Context: Data jumps quick claim verify evidence dog ai model verify model lazy model ai verify data lazy the model quick model verify claim data quick model quick quick claim fox over model data.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick model verifies the fox claim. Context: Data shows the model verifies the fox claim."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The dog runs faster than the fox. Context: Records state the dog is slower than the fox."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The AI logs evidence twice. Context: Logs show the AI records evidence twice."", ""label"": ""SUPPORTED""}]"
87,"Claim: Verify dog quick verify fox model.
Context: Jumps ai brown brown ai over the quick data quick lazy ai ai the model evidence brown evidence over over the brown quick data fox the lazy the model the verify lazy claim model quick verify.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: A quick brown fox jumps over the lazy dog in the field."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Dogs cannot bark. Context: Dogs bark loudly at night."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Water boils at 100\u00b0C at sea level. Context: At sea level, water's boiling point is 100\u00b0C."", ""label"": ""SUPPORTED""}]"
43,"Claim: Jumps evidence dog over claim dog evidence jumps model jumps model.
Context: Claim brown brown ai jumps the fox over model over evidence jumps jumps evidence brown model data jumps dog evidence dog.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The brown fox jumps over the lazy dog. Context: A brown fox quickly jumps over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model says the dog never jumps. Context: Test data shows the dog jumps often during trials."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence shows the model outputs are reproducible. Context: Evidence indicates the model outputs are reproducible across runs."", ""label"": ""SUPPORTED""}]"
81,"Claim: Model model evidence ai ai lazy claim ai data fox jumps over brown dog.
Context: Jumps data lazy lazy lazy lazy quick dog the dog quick over ai dog model lazy jumps dog claim claim jumps claim data evidence the ai.",SUPPORTED,{},"[{""input"": ""Claim: The quick fox jumps over the brown dog. Context: The quick fox jumps over the brown dog by the log."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model says the cat sleeps all day. Context: The text talks about dogs running and foxes jumping, not cats sleeping."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence shows the ai model is lazy. Context: The evidence states the ai model is lazy and slow."", ""label"": ""SUPPORTED""}]"
15,"Claim: Lazy evidence quick lazy brown claim the.
Context: Ai evidence quick brown fox dog verify quick the lazy dog brown data claim ai dog brown evidence verify ai lazy lazy the jumps quick.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: A quick brown fox jumps over a lazy dog in the field."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Mercury is the largest planet in our solar system. Context: Jupiter is the largest planet in the solar system, while Mercury is the smallest."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Water boils at 100\u00b0C at sea level. Context: At sea level pressure, water boils at 100 degrees Celsius."", ""label"": ""SUPPORTED""}]"
82,"Claim: Quick jumps model evidence model ai brown data over.
Context: Ai the the jumps lazy fox over ai the verify verify data verify lazy evidence ai ai verify brown ai over.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The text states the quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The report proves that all data is verified by AI. Context: The report says AI assists analysis but does not claim all data is verified."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Blue whales are the largest animals on Earth. Context: Scientists agree that blue whales are the largest animals alive."", ""label"": ""SUPPORTED""}]"
98,"Claim: Jumps evidence data model verify verify the dog brown ai the quick brown.
Context: Jumps brown ai model fox evidence quick evidence claim quick fox brown verify over claim fox brown lazy data verify model jumps model lazy ai data.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: Evidence confirms the quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model verifies the dog jumps over the fox. Context: Evidence shows the fox jumps over the dog, not the dog over the fox."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The ai model verifies quick brown evidence data. Context: The ai model verifies quick brown evidence data."", ""label"": ""SUPPORTED""}]"
65,"Claim: Jumps the lazy jumps lazy ai lazy dog dog.
Context: Brown evidence jumps the quick jumps evidence ai data jumps fox evidence model model quick the claim lazy brown brown dog verify brown claim claim fox lazy claim brown data.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick fox jumps over the lazy dog. Context: The context states the quick fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: AI model is accurate and fast. Context: The passage mentions AI models and data but not their accuracy or speed."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Brown evidence verifies the lazy dog claim. Context: Brown evidence in the text verifies the lazy dog claim."", ""label"": ""SUPPORTED""}]"
32,"Claim: Ai over claim dog evidence over verify ai over quick claim brown lazy.
Context: Claim lazy verify data quick brown the over evidence model jumps fox ai verify model evidence verify dog lazy the dog jumps the quick verify dog dog over the model data over jumps lazy over data jumps.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: A quick brown fox jumps over a lazy dog in the sentence."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The lazy dog jumps over the fox. Context: A quick brown fox jumps over a lazy dog."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The model verifies the data. Context: The model verifies data quickly."", ""label"": ""SUPPORTED""}]"
60,"Claim: Quick the over fox quick lazy quick quick.
Context: Dog lazy verify ai dog brown verify model claim data the jumps dog dog jumps brown over data ai over model data evidence quick dog dog evidence verify verify model fox brown fox ai brown.",SUPPORTED,{},"[{""input"": ""Claim: The cat sat on the mat. Context: A cat is sitting on a mat by the door."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Paris is the capital of Germany. Context: Berlin is the capital of Germany."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The experiment used 50 samples. Context: The study reports using fifty samples for testing."", ""label"": ""SUPPORTED""}]"
34,"Claim: Quick over over the brown model.
Context: Claim quick lazy ai evidence quick over data evidence jumps lazy lazy the brown evidence jumps evidence data evidence quick verify lazy quick claim fox model jumps jumps model ai ai verify claim fox evidence claim the over model dog.",SUPPORTED,{},"[{""input"": ""Claim: The quick fox jumps over the dog. Context: The context states the quick fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The brown dog flies over the fox. Context: The context only mentions the dog running and the fox jumping; it says nothing about flying."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The model verifies the claim. Context: The passage says the model verifies the claim with evidence."", ""label"": ""SUPPORTED""}]"
73,"Claim: Verify evidence fox fox fox dog data claim fox.
Context: The jumps fox the verify model dog verify dog lazy ai ai model fox lazy brown verify ai model lazy data model lazy evidence.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The text says a brown fox jumps over a lazy dog. Context: The brown fox jumps over the lazy dog and the model verifies fox and dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: There is no mention of any dog in the context. Context: The verify model repeats lazy dog and dog data with fox."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Fox data is cited while 'brown' is not mentioned. Context: The ai verify model lists fox data and lazy dog, with no brown anywhere."", ""label"": ""SUPPORTED""}]"
44,"Claim: Evidence claim evidence brown brown model jumps verify.
Context: Jumps data fox the verify fox model jumps brown model the jumps over evidence ai evidence verify ai lazy dog model brown over data brown model verify ai over ai over lazy.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The brown model jumps over the lazy dog. Context: Logs show the brown model jumps over the lazy dog in tests."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox model never jumps. Context: Reports state the fox model jumps over barriers and runs fast."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence verifies the fox jumps over the dog. Context: Evidence records say the fox jumps over the lazy dog and the brown model follows."", ""label"": ""SUPPORTED""}]"
14,"Claim: Quick brown lazy model verify dog ai evidence verify.
Context: Claim fox the claim dog jumps lazy jumps evidence over verify brown the over evidence model model lazy verify the jumps evidence fox claim ai claim dog ai dog over data fox over dog evidence dog ai ai.",SUPPORTED,{},"[{""input"": ""Claim: The quick fox jumps over the lazy dog. Context: The quick fox jumps over the lazy dog in the yard."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The brown model failed verification. Context: The model passed verification with clear evidence."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence shows AI verified the data. Context: The report states AI verified the data with evidence."", ""label"": ""SUPPORTED""}]"
46,"Claim: Over data the lazy data quick over ai quick.
Context: Ai ai verify evidence ai verify quick claim the dog model ai fox fox jumps claim evidence brown evidence data verify fox fox evidence evidence dog brown the.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The passage says a quick brown fox leaps over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The ai model verified the claim instantly. Context: The report says the model failed to verify the claim."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The dog in the example is brown. Context: The context states the dog is brown."", ""label"": ""SUPPORTED""}]"
35,"Claim: Jumps evidence evidence claim brown jumps ai data the model lazy brown.
Context: Jumps the lazy fox the claim lazy data brown jumps jumps dog model claim data over quick fox fox the evidence over fox quick model jumps evidence evidence model.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The text says a quick brown fox jumps over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The model achieved 100% accuracy on all datasets. Context: The article mentions several errors and an accuracy of 92%."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Paris is the capital of France. Context: The passage states that France's capital is Paris."", ""label"": ""SUPPORTED""}]"
64,"Claim: Brown lazy verify ai fox brown verify data fox claim the fox evidence evidence.
Context: Ai model claim brown model verify ai ai the claim ai over ai fox evidence ai brown over brown quick data brown data data verify model fox verify claim evidence brown.",NOT_SUPPORTED,{},"[{""input"": ""Claim: Brown fox verifies the claim with quick brown data. Context: Quick brown data from the ai model verifies the fox claim."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox claim is not verified by any brown data. Context: Brown data from the ai model verifies the fox claim with clear evidence."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Ai model over brown data verify the fox claim. Context: Ai model verifies the fox claim using brown data and matching evidence."", ""label"": ""SUPPORTED""}]"
10,"Claim: Claim lazy quick claim evidence over.
Context: Claim claim ai quick data the ai fox over ai fox brown verify ai lazy verify evidence fox jumps claim brown over over lazy fox ai evidence fox the the verify.",SUPPORTED,{},"[{""input"": ""Claim: The fox jumps over the lazy dog. Context: The quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The lazy dog jumps over the fox. Context: The quick brown fox jumps over the lazy dog."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: AI verifies the claim using evidence. Context: The context states that AI verifies the claim using evidence."", ""label"": ""SUPPORTED""}]"
70,"Claim: Over verify data over over fox jumps dog claim the.
Context: Dog evidence data jumps claim claim brown fox ai claim verify ai data over evidence lazy claim over claim verify brown verify dog verify quick over over model ai evidence.",SUPPORTED,{},"[{""input"": ""Claim: The brown fox jumps over the lazy dog. Context: Evidence states a brown fox jumps over a lazy dog during a quick test."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: No evidence shows the fox jumps. Context: The context reports the fox jumps over the dog multiple times."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: AI verifies data about the quick brown fox. Context: The context notes AI verify data on the quick brown fox and related evidence."", ""label"": ""SUPPORTED""}]"
31,"Claim: Lazy data verify dog the jumps lazy brown brown lazy.
Context: Verify quick dog claim quick over data evidence quick data verify lazy claim claim the brown over brown model ai lazy data dog the dog data data lazy lazy claim the jumps lazy jumps evidence data.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The text says the quick brown fox jumps over the lazy dog, confirming the jump."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The cat sits on the mat. Context: The passage only mentions a dog and a fox jumping, with no cat or mat referenced."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Data verify the model is accurate. Context: The evidence states the data verify the model's accuracy and support the claim."", ""label"": ""SUPPORTED""}]"
74,"Claim: Claim claim jumps lazy over over fox over ai over quick.
Context: Over verify verify evidence fox claim ai model brown quick claim ai evidence dog ai over quick claim verify model fox evidence over evidence.",SUPPORTED,{},"[{""input"": ""Claim: The Eiffel Tower is in Paris. Context: Paris is home to the Eiffel Tower."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Water boils at 80 C at sea level. Context: At sea level, pure water boils at 100 C."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Ada Lovelace wrote notes on the Analytical Engine. Context: Her notes on the Analytical Engine included an algorithm."", ""label"": ""SUPPORTED""}]"
